HashBits,Threads,Throughput (MTPS)
1,1,0.131637
1,2,0.165070
1,4,0.111640
1,8,0.097752
1,16,0.059790
1,32,0.065200
2,1,0.135114
2,2,0.120932
2,4,0.167132
2,8,0.145149
2,16,0.119665
2,32,0.102814
3,1,0.136082
3,2,0.196741
3,4,0.156129
3,8,0.177565
3,16,0.214759
3,32,0.192361
4,1,0.138162
4,2,0.205047
4,4,0.164773
4,8,0.201581
4,16,0.217444
4,32,0.204465
5,1,0.139729
5,2,0.214253
5,4,0.239655
5,8,0.267097
5,16,0.289733
5,32,0.209355
6,1,0.129770
6,2,0.181666
6,4,0.249147
6,8,0.281837
6,16,0.373127
6,32,0.558001
7,1,0.147249
7,2,0.186901
7,4,0.313333
7,8,0.461401
7,16,0.552064
7,32,0.397009
8,1,0.145722
8,2,0.235927
8,4,0.346806
8,8,0.572397
8,16,0.825654
8,32,0.812250
9,1,0.146423
9,2,0.208696
9,4,0.395563
9,8,0.593331
9,16,0.871253
9,32,0.883890
10,1,0.138010
10,2,0.236895
10,4,0.376750
10,8,0.605650
10,16,0.790617
10,32,0.842001
11,1,0.140238
11,2,0.209884
11,4,0.383507
11,8,0.520006
11,16,0.676369
11,32,0.723571
12,1,0.133833
12,2,0.245875
12,4,0.349812
12,8,0.452175
12,16,0.497419
12,32,0.569628
13,1,0.127940
13,2,0.184826
13,4,0.297341
13,8,0.346841
13,16,0.369493
13,32,0.462889
14,1,0.123768
14,2,0.172143
14,4,0.292545
14,8,0.321847
14,16,0.358039
14,32,0.378693
15,1,0.108581
15,2,0.186858
15,4,0.232931
15,8,0.267655
15,16,0.265909
15,32,0.330907
16,1,0.090272
16,2,0.164809
16,4,0.189767
16,8,0.203194
16,16,0.201970
16,32,0.268563
17,1,0.070583
17,2,0.123189
17,4,0.151499
17,8,0.139449
17,16,0.144967
17,32,0.181173
18,1,0.061234
18,2,0.095090
18,4,0.103100
18,8,0.103438
18,16,0.100246
18,32,0.114717
