HashBits,Threads,Throughput (MTPS)
1,1,0.157742
1,2,0.274234
1,4,0.449381
1,8,0.847012
1,16,1.097299
1,32,1.156046
2,1,0.173531
2,2,0.333650
2,4,0.576839
2,8,0.907727
2,16,1.061952
2,32,0.996446
3,1,0.119100
3,2,0.348481
3,4,0.559562
3,8,0.620523
3,16,0.488446
3,32,0.475539
4,1,0.105092
4,2,0.123723
4,4,0.103416
4,8,0.065241
4,16,0.051958
4,32,0.046779
5,1,0.038151
5,2,0.050223
5,4,0.050351
5,8,0.046305
5,16,0.045667
5,32,0.061271
6,1,0.036739
6,2,0.051419
6,4,0.049040
6,8,0.048571
6,16,0.043465
6,32,0.047556
7,1,0.038965
7,2,0.057523
7,4,0.050788
7,8,0.047175
7,16,0.046900
7,32,0.042291
8,1,0.042834
8,2,0.046715
8,4,0.057207
8,8,0.047414
8,16,0.045640
8,32,0.041048
9,1,0.037929
9,2,0.052014
9,4,0.052442
9,8,0.049034
9,16,0.045979
9,32,0.057447
10,1,0.040438
10,2,0.054044
10,4,0.052358
10,8,0.049262
10,16,0.042562
10,32,0.059544
11,1,0.039189
11,2,0.054034
11,4,0.053180
11,8,0.046892
11,16,0.045390
11,32,0.058223
12,1,0.038313
12,2,0.048239
12,4,0.048117
12,8,0.048719
12,16,0.041725
12,32,0.058098
13,1,0.037328
13,2,0.049436
13,4,0.049020
13,8,0.055120
13,16,0.046067
13,32,0.058335
14,1,0.036699
14,2,0.053323
14,4,0.051092
14,8,0.042758
14,16,0.046023
14,32,0.058678
15,1,0.039681
15,2,0.047025
15,4,0.050876
15,8,0.045433
15,16,0.046297
15,32,0.059294
16,1,0.038701
16,2,0.055972
16,4,0.049968
16,8,0.049141
16,16,0.048819
16,32,0.052857
17,1,0.037415
17,2,0.045789
17,4,0.060747
17,8,0.048452
17,16,0.042389
17,32,0.051585
18,1,0.037064
18,2,0.056502
18,4,0.047269
18,8,0.046625
18,16,0.041128
18,32,0.043056
