HashBits,Threads,Throughput (MTPS)
1,1,0.133798
1,2,0.165803
1,4,0.129884
1,8,0.098879
1,16,0.061150
1,32,0.058457
2,1,0.133549
2,2,0.181122
2,4,0.160901
2,8,0.143817
2,16,0.095569
2,32,0.100178
3,1,0.133853
3,2,0.102270
3,4,0.158121
3,8,0.221720
3,16,0.191850
3,32,0.155755
4,1,0.139087
4,2,0.126873
4,4,0.181022
4,8,0.226098
4,16,0.250639
4,32,0.246453
5,1,0.132503
5,2,0.200139
5,4,0.231404
5,8,0.285793
5,16,0.472079
5,32,0.506929
6,1,0.140630
6,2,0.225527
6,4,0.281169
6,8,0.347711
6,16,0.234097
6,32,0.478447
7,1,0.140370
7,2,0.188326
7,4,0.335599
7,8,0.337039
7,16,0.553559
7,32,0.685095
8,1,0.132031
8,2,0.205783
8,4,0.353679
8,8,0.494138
8,16,0.499731
8,32,0.800730
9,1,0.141533
9,2,0.258546
9,4,0.369711
9,8,0.604841
9,16,0.892873
9,32,0.833600
10,1,0.141798
10,2,0.258777
10,4,0.366536
10,8,0.579036
10,16,0.760592
10,32,0.775582
11,1,0.138837
11,2,0.255097
11,4,0.358330
11,8,0.519418
11,16,0.637971
11,32,0.657243
12,1,0.131181
12,2,0.195268
12,4,0.305670
12,8,0.432929
12,16,0.498819
12,32,0.496509
13,1,0.125805
13,2,0.225005
13,4,0.302581
13,8,0.345235
13,16,0.382226
13,32,0.347848
14,1,0.115705
14,2,0.206483
14,4,0.273489
14,8,0.297111
14,16,0.336530
14,32,0.303145
15,1,0.107826
15,2,0.156439
15,4,0.209729
15,8,0.258470
15,16,0.261736
15,32,0.246652
16,1,0.089592
16,2,0.151017
16,4,0.188888
16,8,0.206631
16,16,0.221772
16,32,0.188221
17,1,0.075501
17,2,0.114585
17,4,0.158816
17,8,0.150966
17,16,0.141999
17,32,0.142256
18,1,0.061052
18,2,0.090612
18,4,0.106858
18,8,0.101153
18,16,0.098847
18,32,0.096703
