HashBits,Threads,Throughput (MTPS)
1,1,0.138517
1,2,0.178144
1,4,0.180826
1,8,0.150726
1,16,0.088864
1,32,0.105895
2,1,0.138329
2,2,0.204942
2,4,0.270565
2,8,0.250512
2,16,0.161426
2,32,0.293431
3,1,0.143829
3,2,0.212539
3,4,0.255806
3,8,0.266541
3,16,0.330198
3,32,0.340194
4,1,0.143932
4,2,0.220413
4,4,0.265395
4,8,0.283317
4,16,0.373732
4,32,0.394811
5,1,0.140595
5,2,0.218703
5,4,0.327099
5,8,0.382430
5,16,0.479911
5,32,0.623919
6,1,0.145680
6,2,0.239257
6,4,0.410197
6,8,0.548411
6,16,0.614205
6,32,0.837780
7,1,0.144730
7,2,0.244112
7,4,0.429026
7,8,0.579693
7,16,0.901226
7,32,0.985328
8,1,0.145460
8,2,0.255681
8,4,0.427519
8,8,0.711240
8,16,0.917596
8,32,1.205402
9,1,0.146281
9,2,0.255745
9,4,0.462681
9,8,0.782786
9,16,1.230648
9,32,1.247639
10,1,0.141525
10,2,0.265679
10,4,0.459560
10,8,0.720637
10,16,0.899045
10,32,1.167305
11,1,0.140019
11,2,0.261242
11,4,0.439415
11,8,0.624702
11,16,0.787203
11,32,0.975357
12,1,0.135235
12,2,0.246736
12,4,0.408292
12,8,0.542922
12,16,0.557374
12,32,0.726499
13,1,0.129602
13,2,0.228205
13,4,0.348826
13,8,0.373938
13,16,0.388208
13,32,0.615582
14,1,0.123546
14,2,0.221830
14,4,0.335584
14,8,0.321185
14,16,0.372571
14,32,0.403324
15,1,0.112910
15,2,0.196352
15,4,0.290842
15,8,0.300495
15,16,0.285750
15,32,0.329357
16,1,0.097804
16,2,0.164416
16,4,0.209907
16,8,0.215516
16,16,0.221080
16,32,0.313471
17,1,0.079789
17,2,0.131604
17,4,0.163460
17,8,0.158951
17,16,0.156943
17,32,0.241130
18,1,0.063423
18,2,0.100833
18,4,0.128383
18,8,0.109482
18,16,0.105714
18,32,0.128611
