HashBits,Threads,Throughput (MTPS)
1,1,0.138668
1,2,0.181728
1,4,0.174884
1,8,0.155263
1,16,0.093837
1,32,0.098255
2,1,0.141024
2,2,0.204643
2,4,0.236613
2,8,0.217816
2,16,0.162326
2,32,0.258286
3,1,0.141420
3,2,0.202167
3,4,0.239597
3,8,0.269436
3,16,0.344651
3,32,0.365055
4,1,0.144094
4,2,0.218020
4,4,0.278504
4,8,0.307738
4,16,0.413274
4,32,0.399345
5,1,0.143253
5,2,0.217245
5,4,0.329561
5,8,0.234954
5,16,0.487380
5,32,0.635251
6,1,0.147447
6,2,0.236781
6,4,0.353609
6,8,0.473942
6,16,0.709635
6,32,0.775714
7,1,0.146017
7,2,0.251478
7,4,0.393493
7,8,0.711564
7,16,0.826212
7,32,1.112031
8,1,0.148142
8,2,0.251748
8,4,0.458080
8,8,0.735983
8,16,1.172320
8,32,1.272782
9,1,0.147442
9,2,0.256428
9,4,0.462750
9,8,0.741519
9,16,1.225104
9,32,1.296785
10,1,0.143987
10,2,0.259424
10,4,0.460071
10,8,0.731255
10,16,1.051263
10,32,1.187087
11,1,0.141823
11,2,0.266568
11,4,0.467901
11,8,0.710544
11,16,0.896843
11,32,0.900974
12,1,0.135352
12,2,0.241417
12,4,0.406479
12,8,0.558968
12,16,0.568955
12,32,0.782040
13,1,0.127882
13,2,0.225266
13,4,0.350084
13,8,0.382164
13,16,0.430590
13,32,0.576424
14,1,0.125229
14,2,0.215017
14,4,0.314678
14,8,0.366171
14,16,0.357312
14,32,0.438165
15,1,0.115895
15,2,0.199027
15,4,0.262441
15,8,0.291822
15,16,0.290589
15,32,0.312472
16,1,0.096981
16,2,0.164533
16,4,0.221794
16,8,0.229055
16,16,0.213383
16,32,0.307098
17,1,0.080003
17,2,0.131923
17,4,0.169044
17,8,0.161439
17,16,0.159561
17,32,0.168959
18,1,0.063687
18,2,0.100605
18,4,0.114881
18,8,0.103352
18,16,0.105569
18,32,0.106347
