HashBits,Threads,Throughput (MTPS)
1,1,0.169629
1,2,0.323792
1,4,0.438729
1,8,0.804669
1,16,1.100848
1,32,1.420632
2,1,0.174520
2,2,0.339702
2,4,0.606584
2,8,0.316240
2,16,0.975864
2,32,1.247622
3,1,0.183344
3,2,0.349364
3,4,0.555092
3,8,0.649215
3,16,0.556673
3,32,0.534944
4,1,0.102715
4,2,0.119120
4,4,0.108516
4,8,0.069066
4,16,0.049678
4,32,0.046865
5,1,0.037590
5,2,0.049389
5,4,0.045355
5,8,0.047888
5,16,0.044349
5,32,0.045884
6,1,0.043060
6,2,0.056923
6,4,0.043675
6,8,0.048867
6,16,0.044615
6,32,0.061044
7,1,0.042272
7,2,0.045934
7,4,0.047553
7,8,0.047531
7,16,0.047970
7,32,0.059546
8,1,0.036537
8,2,0.060024
8,4,0.045166
8,8,0.046014
8,16,0.048416
8,32,0.048685
9,1,0.037567
9,2,0.055679
9,4,0.047907
9,8,0.048367
9,16,0.045717
9,32,0.049072
10,1,0.039248
10,2,0.053161
10,4,0.056023
10,8,0.047171
10,16,0.046435
10,32,0.041194
11,1,0.038404
11,2,0.045651
11,4,0.044237
11,8,0.045299
11,16,0.044060
11,32,0.059489
12,1,0.038651
12,2,0.056058
12,4,0.045266
12,8,0.046042
12,16,0.047634
12,32,0.040454
13,1,0.037078
13,2,0.051049
13,4,0.050632
13,8,0.054157
13,16,0.049237
13,32,0.057856
14,1,0.036726
14,2,0.056363
14,4,0.044484
14,8,0.047464
14,16,0.045858
14,32,0.055945
15,1,0.038054
15,2,0.053331
15,4,0.054498
15,8,0.053769
15,16,0.044722
15,32,0.058367
16,1,0.037238
16,2,0.055480
16,4,0.047901
16,8,0.049633
16,16,0.043342
16,32,0.044560
17,1,0.041522
17,2,0.049227
17,4,0.046533
17,8,0.048142
17,16,0.043627
17,32,0.051982
18,1,0.036964
18,2,0.055697
18,4,0.052120
18,8,0.045452
18,16,0.043410
18,32,0.046153
