HashBits,Threads,Throughput (MTPS)
1,1,0.140836
1,2,0.181722
1,4,0.183645
1,8,0.160229
1,16,0.178730
1,32,0.155340
2,1,0.140458
2,2,0.195279
2,4,0.263911
2,8,0.233249
2,16,0.242191
2,32,0.261402
3,1,0.146123
3,2,0.201169
3,4,0.230581
3,8,0.258264
3,16,0.298355
3,32,0.257445
4,1,0.146540
4,2,0.202865
4,4,0.275791
4,8,0.302492
4,16,0.315158
4,32,0.280818
5,1,0.145900
5,2,0.226901
5,4,0.283792
5,8,0.358065
5,16,0.438256
5,32,0.411242
6,1,0.141063
6,2,0.236598
6,4,0.315122
6,8,0.445308
6,16,0.570275
6,32,0.558222
7,1,0.143607
7,2,0.248578
7,4,0.416485
7,8,0.650976
7,16,0.596701
7,32,0.620763
8,1,0.147372
8,2,0.245267
8,4,0.450414
8,8,0.734885
8,16,0.712408
8,32,0.759588
9,1,0.148213
9,2,0.258233
9,4,0.456287
9,8,0.775431
9,16,0.775788
9,32,0.724584
10,1,0.145749
10,2,0.266979
10,4,0.460191
10,8,0.733478
10,16,0.755699
10,32,0.683202
11,1,0.141624
11,2,0.259656
11,4,0.438216
11,8,0.625434
11,16,0.671698
11,32,0.604676
12,1,0.135390
12,2,0.244357
12,4,0.384183
12,8,0.518480
12,16,0.586837
12,32,0.499139
13,1,0.129636
13,2,0.224610
13,4,0.344340
13,8,0.385607
13,16,0.475313
13,32,0.429892
14,1,0.123348
14,2,0.212498
14,4,0.301828
14,8,0.353966
14,16,0.425606
14,32,0.430609
15,1,0.115451
15,2,0.197392
15,4,0.259483
15,8,0.294821
15,16,0.373944
15,32,0.402598
16,1,0.101099
16,2,0.170899
16,4,0.224472
16,8,0.219452
16,16,0.295659
16,32,0.313600
17,1,0.079089
17,2,0.136093
17,4,0.171414
17,8,0.166735
17,16,0.230807
17,32,0.218881
18,1,0.064543
18,2,0.104021
18,4,0.117866
18,8,0.110126
18,16,0.158849
18,32,0.147227
