HashBits,Threads,Throughput (MTPS)
1,1,0.169149
1,2,0.567858
1,4,0.528282
1,8,0.490440
1,16,0.370499
1,32,0.345541
2,1,0.177882
2,2,0.519767
2,4,0.299656
2,8,0.463504
2,16,0.352993
2,32,0.363388
3,1,0.188718
3,2,0.528577
3,4,0.492995
3,8,0.422880
3,16,0.278910
3,32,0.125423
4,1,0.110249
4,2,0.137741
4,4,0.098967
4,8,0.069680
4,16,0.052427
4,32,0.049123
5,1,0.042052
5,2,0.055947
5,4,0.054154
5,8,0.058163
5,16,0.045287
5,32,0.037460
6,1,0.045291
6,2,0.064463
6,4,0.055749
6,8,0.060700
6,16,0.059142
6,32,0.043084
7,1,0.043136
7,2,0.054425
7,4,0.067114
7,8,0.049317
7,16,0.047309
7,32,0.051057
8,1,0.045131
8,2,0.060751
8,4,0.057359
8,8,0.057148
8,16,0.048278
8,32,0.042440
9,1,0.042833
9,2,0.055723
9,4,0.067017
9,8,0.053219
9,16,0.047038
9,32,0.053880
10,1,0.045278
10,2,0.060362
10,4,0.055662
10,8,0.053340
10,16,0.052537
10,32,0.042412
11,1,0.043699
11,2,0.065833
11,4,0.057050
11,8,0.057869
11,16,0.046944
11,32,0.040268
12,1,0.041190
12,2,0.053179
12,4,0.064384
12,8,0.056646
12,16,0.053120
12,32,0.043025
13,1,0.042735
13,2,0.054421
13,4,0.060837
13,8,0.060864
13,16,0.046306
13,32,0.038723
14,1,0.045084
14,2,0.064953
14,4,0.056186
14,8,0.053518
14,16,0.048610
14,32,0.048353
15,1,0.043138
15,2,0.058228
15,4,0.059586
15,8,0.059152
15,16,0.042021
15,32,0.048862
16,1,0.044149
16,2,0.061239
16,4,0.056912
16,8,0.051904
16,16,0.052681
16,32,0.042934
17,1,0.042154
17,2,0.063696
17,4,0.060988
17,8,0.053485
17,16,0.051858
17,32,0.041838
18,1,0.044063
18,2,0.054286
18,4,0.069549
18,8,0.049770
18,16,0.044510
18,32,0.039203
