HashBits,Threads,Throughput (MTPS)
1,1,0.202708
1,2,0.574004
1,4,0.595423
1,8,0.481123
1,16,0.553016
1,32,0.490257
2,1,0.186692
2,2,0.562347
2,4,0.408778
2,8,0.568919
2,16,0.560143
2,32,0.564515
3,1,0.190460
3,2,0.545176
3,4,0.364458
3,8,0.487371
3,16,0.424615
3,32,0.371009
4,1,0.110670
4,2,0.131062
4,4,0.103721
4,8,0.070122
4,16,0.053644
4,32,0.051062
5,1,0.042285
5,2,0.058681
5,4,0.060807
5,8,0.051510
5,16,0.048559
5,32,0.046338
6,1,0.043263
6,2,0.063820
6,4,0.060030
6,8,0.059459
6,16,0.044870
6,32,0.048436
7,1,0.045117
7,2,0.064286
7,4,0.055110
7,8,0.065224
7,16,0.057678
7,32,0.049246
8,1,0.042262
8,2,0.062573
8,4,0.058643
8,8,0.054265
8,16,0.046913
8,32,0.041925
9,1,0.042340
9,2,0.053892
9,4,0.065648
9,8,0.052501
9,16,0.043943
9,32,0.050885
10,1,0.042442
10,2,0.061460
10,4,0.060086
10,8,0.052735
10,16,0.048304
10,32,0.043203
11,1,0.042089
11,2,0.065370
11,4,0.060885
11,8,0.060236
11,16,0.046484
11,32,0.051164
12,1,0.043154
12,2,0.054273
12,4,0.070089
12,8,0.055514
12,16,0.045114
12,32,0.049629
13,1,0.042286
13,2,0.060332
13,4,0.056909
13,8,0.056028
13,16,0.050471
13,32,0.052486
14,1,0.042883
14,2,0.060158
14,4,0.058246
14,8,0.060410
14,16,0.043568
14,32,0.043393
15,1,0.044113
15,2,0.064642
15,4,0.055574
15,8,0.054139
15,16,0.054339
15,32,0.048698
16,1,0.042231
16,2,0.055303
16,4,0.063370
16,8,0.054308
16,16,0.049082
16,32,0.044532
17,1,0.043107
17,2,0.060696
17,4,0.058680
17,8,0.052318
17,16,0.051560
17,32,0.041372
18,1,0.041854
18,2,0.060937
18,4,0.060192
18,8,0.056561
18,16,0.043562
18,32,0.039606
