HashBits,Threads,Throughput (MTPS)
1,1,0.168083
1,2,0.362108
1,4,0.629347
1,8,0.942915
1,16,1.135366
1,32,1.014082
2,1,0.145148
2,2,0.350684
2,4,0.639804
2,8,0.988585
2,16,1.110635
2,32,1.023888
3,1,0.188359
3,2,0.349603
3,4,0.563631
3,8,0.630578
3,16,0.654654
3,32,0.471243
4,1,0.111593
4,2,0.129662
4,4,0.112201
4,8,0.075653
4,16,0.068208
4,32,0.061750
5,1,0.041694
5,2,0.055688
5,4,0.052636
5,8,0.052556
5,16,0.082935
5,32,0.075906
6,1,0.043056
6,2,0.059201
6,4,0.048833
6,8,0.052428
6,16,0.072383
6,32,0.075012
7,1,0.041640
7,2,0.061974
7,4,0.056678
7,8,0.053922
7,16,0.082439
7,32,0.076666
8,1,0.043303
8,2,0.045036
8,4,0.048829
8,8,0.049521
8,16,0.068163
8,32,0.068088
9,1,0.041137
9,2,0.060179
9,4,0.047676
9,8,0.054970
9,16,0.073971
9,32,0.074204
10,1,0.043479
10,2,0.049330
10,4,0.055954
10,8,0.044627
10,16,0.073157
10,32,0.076739
11,1,0.043286
11,2,0.059824
11,4,0.045841
11,8,0.049364
11,16,0.067992
11,32,0.076662
12,1,0.045333
12,2,0.051057
12,4,0.049119
12,8,0.049630
12,16,0.079358
12,32,0.076882
13,1,0.042089
13,2,0.057383
13,4,0.049888
13,8,0.055930
13,16,0.072401
13,32,0.074561
14,1,0.041282
14,2,0.053504
14,4,0.052214
14,8,0.051191
14,16,0.087377
14,32,0.076800
15,1,0.041428
15,2,0.057443
15,4,0.048255
15,8,0.049894
15,16,0.074778
15,32,0.074995
16,1,0.042213
16,2,0.056152
16,4,0.054093
16,8,0.050576
16,16,0.070952
16,32,0.069969
17,1,0.045011
17,2,0.052301
17,4,0.054356
17,8,0.049813
17,16,0.065670
17,32,0.068694
18,1,0.041276
18,2,0.055260
18,4,0.048617
18,8,0.051086
18,16,0.067061
18,32,0.059363
