HashBits,Threads,Throughput (MTPS)
1,1,12.399717
1,2,11.261515
1,4,11.341726
1,8,11.434060
1,16,11.868873
1,32,12.040939
2,1,11.764983
2,2,11.905896
2,4,11.586009
2,8,11.280316
2,16,11.975474
2,32,13.349353
3,1,11.959005
3,2,11.682652
3,4,11.829280
3,8,11.187184
3,16,12.318457
3,32,13.725140
4,1,11.861974
4,2,11.712482
4,4,12.402793
4,8,12.253400
4,16,12.369043
4,32,13.620824
5,1,12.048628
5,2,11.971747
5,4,11.979491
5,8,12.132389
5,16,12.245898
5,32,12.953703
6,1,11.802335
6,2,11.899520
6,4,11.860286
6,8,12.139163
6,16,12.468362
6,32,13.558954
7,1,11.921367
7,2,12.016487
7,4,11.856067
7,8,12.066947
7,16,12.264220
7,32,13.478179
8,1,11.938445
8,2,11.994578
8,4,12.003793
8,8,12.154213
8,16,12.428381
8,32,13.319304
9,1,13.752132
9,2,13.979757
9,4,13.941557
9,8,13.945834
9,16,12.364913
9,32,13.882333
10,1,13.873859
10,2,13.920016
10,4,14.124493
10,8,13.991885
10,16,12.533841
10,32,13.428406
11,1,11.707546
11,2,11.741913
11,4,11.842308
11,8,11.813489
11,16,12.126798
11,32,13.892941
12,1,11.063171
12,2,11.117658
12,4,11.115063
12,8,11.269256
12,16,11.189688
12,32,12.103753
13,1,10.298661
13,2,10.411136
13,4,10.379150
13,8,10.433839
13,16,10.503981
13,32,11.771076
14,1,9.411499
14,2,9.498119
14,4,9.551919
14,8,9.510495
14,16,9.680730
14,32,9.357513
15,1,8.482340
15,2,8.592689
15,4,8.473930
15,8,8.623738
15,16,8.639757
15,32,8.816243
16,1,7.119718
16,2,7.198336
16,4,7.145511
16,8,7.201965
16,16,7.367677
16,32,7.501425
17,1,5.478491
17,2,5.479002
17,4,5.490433
17,8,5.505638
17,16,5.612145
17,32,5.746268
18,1,4.083066
18,2,4.117175
18,4,4.135017
18,8,4.105259
18,16,4.131907
18,32,4.174407
