HashBits,Threads,Throughput (MTPS)
1,1,0.174056
1,2,0.296353
1,4,0.523110
1,8,0.855499
1,16,1.010049
1,32,0.951296
2,1,0.173895
2,2,0.314654
2,4,0.593030
2,8,0.885444
2,16,0.891395
2,32,0.712028
3,1,0.176396
3,2,0.130254
3,4,0.544974
3,8,0.656618
3,16,0.728666
3,32,0.627765
4,1,0.104952
4,2,0.128099
4,4,0.098928
4,8,0.064540
4,16,0.056610
4,32,0.049835
5,1,0.036372
5,2,0.051186
5,4,0.048859
5,8,0.054229
5,16,0.070092
5,32,0.070074
6,1,0.038248
6,2,0.049150
6,4,0.045504
6,8,0.048999
6,16,0.051194
6,32,0.075199
7,1,0.040025
7,2,0.055077
7,4,0.051441
7,8,0.048551
7,16,0.075957
7,32,0.068606
8,1,0.039828
8,2,0.057278
8,4,0.045611
8,8,0.053203
8,16,0.068290
8,32,0.073215
9,1,0.035497
9,2,0.052701
9,4,0.046903
9,8,0.051016
9,16,0.069130
9,32,0.073220
10,1,0.037480
10,2,0.047291
10,4,0.056755
10,8,0.052304
10,16,0.071733
10,32,0.071562
11,1,0.037460
11,2,0.049037
11,4,0.052862
11,8,0.051276
11,16,0.073417
11,32,0.070092
12,1,0.037342
12,2,0.050172
12,4,0.048834
12,8,0.051401
12,16,0.060987
12,32,0.076914
13,1,0.038378
13,2,0.053470
13,4,0.050582
13,8,0.049363
13,16,0.072764
13,32,0.068815
14,1,0.038913
14,2,0.055258
14,4,0.044743
14,8,0.049153
14,16,0.067662
14,32,0.051308
15,1,0.042778
15,2,0.046852
15,4,0.047282
15,8,0.048608
15,16,0.067914
15,32,0.071379
16,1,0.037687
16,2,0.053660
16,4,0.047482
16,8,0.049549
16,16,0.052063
16,32,0.069607
17,1,0.039229
17,2,0.052406
17,4,0.046215
17,8,0.046335
17,16,0.063318
17,32,0.061375
18,1,0.040980
18,2,0.050033
18,4,0.043904
18,8,0.043721
18,16,0.057868
18,32,0.052367
