HashBits,Threads,Throughput (MTPS)
1,1,0.136417
1,2,0.182811
1,4,0.172574
1,8,0.090708
1,16,0.057939
1,32,0.058932
2,1,0.132745
2,2,0.103283
2,4,0.140991
2,8,0.143859
2,16,0.101642
2,32,0.112996
3,1,0.135010
3,2,0.117803
3,4,0.170096
3,8,0.192543
3,16,0.201317
3,32,0.233568
4,1,0.132015
4,2,0.128985
4,4,0.139395
4,8,0.234210
4,16,0.225032
4,32,0.262614
5,1,0.134848
5,2,0.191383
5,4,0.213650
5,8,0.280881
5,16,0.276927
5,32,0.312680
6,1,0.127417
6,2,0.204422
6,4,0.279413
6,8,0.288049
6,16,0.423408
6,32,0.454535
7,1,0.130076
7,2,0.171879
7,4,0.310129
7,8,0.482498
7,16,0.374770
7,32,0.424021
8,1,0.142877
8,2,0.203247
8,4,0.291443
8,8,0.569212
8,16,0.911520
8,32,0.933460
9,1,0.138733
9,2,0.188035
9,4,0.365833
9,8,0.614762
9,16,0.886514
9,32,0.956254
10,1,0.133800
10,2,0.239857
10,4,0.439226
10,8,0.598669
10,16,0.809131
10,32,0.855219
11,1,0.131240
11,2,0.198863
11,4,0.363600
11,8,0.519768
11,16,0.665688
11,32,0.772184
12,1,0.131491
12,2,0.243172
12,4,0.328945
12,8,0.424039
12,16,0.490556
12,32,0.615600
13,1,0.124611
13,2,0.177795
13,4,0.278829
13,8,0.351974
13,16,0.427899
13,32,0.437284
14,1,0.115042
14,2,0.208374
14,4,0.282707
14,8,0.313936
14,16,0.352838
14,32,0.343697
15,1,0.105350
15,2,0.186331
15,4,0.218766
15,8,0.266297
15,16,0.270469
15,32,0.285870
16,1,0.093301
16,2,0.135473
16,4,0.193034
16,8,0.211189
16,16,0.210855
16,32,0.257676
17,1,0.071655
17,2,0.121282
17,4,0.157441
17,8,0.155706
17,16,0.145005
17,32,0.150123
18,1,0.060082
18,2,0.095438
18,4,0.115979
18,8,0.101752
18,16,0.091913
18,32,0.096727
