HashBits,Threads,Throughput (MTPS)
1,1,0.130494
1,2,0.096728
1,4,0.101612
1,8,0.103421
1,16,0.061002
1,32,0.067475
2,1,0.137322
2,2,0.193855
2,4,0.223575
2,8,0.142424
2,16,0.102929
2,32,0.126110
3,1,0.134128
3,2,0.198946
3,4,0.150388
3,8,0.170095
3,16,0.174469
3,32,0.150178
4,1,0.133995
4,2,0.177971
4,4,0.147771
4,8,0.231369
4,16,0.203184
4,32,0.234584
5,1,0.134262
5,2,0.145780
5,4,0.193867
5,8,0.210882
5,16,0.297152
5,32,0.301001
6,1,0.131000
6,2,0.202739
6,4,0.299024
6,8,0.436224
6,16,0.470399
6,32,0.427140
7,1,0.131665
7,2,0.171143
7,4,0.333124
7,8,0.456738
7,16,0.694163
7,32,0.458407
8,1,0.142129
8,2,0.235335
8,4,0.419246
8,8,0.586544
8,16,0.871121
8,32,0.961670
9,1,0.139073
9,2,0.207839
9,4,0.350567
9,8,0.612837
9,16,0.993209
9,32,0.961055
10,1,0.141199
10,2,0.258016
10,4,0.361621
10,8,0.623856
10,16,0.843552
10,32,0.885895
11,1,0.132188
11,2,0.248627
11,4,0.442032
11,8,0.633573
11,16,0.677769
11,32,0.771526
12,1,0.133719
12,2,0.196301
12,4,0.305095
12,8,0.488032
12,16,0.561009
12,32,0.576446
13,1,0.124706
13,2,0.170074
13,4,0.291496
13,8,0.343971
13,16,0.415555
13,32,0.396235
14,1,0.120664
14,2,0.177650
14,4,0.299609
14,8,0.336412
14,16,0.368185
14,32,0.383799
15,1,0.109596
15,2,0.157395
15,4,0.241186
15,8,0.276920
15,16,0.285224
15,32,0.281591
16,1,0.090754
16,2,0.136214
16,4,0.191968
16,8,0.213168
16,16,0.195207
16,32,0.222744
17,1,0.073982
17,2,0.111048
17,4,0.141401
17,8,0.136579
17,16,0.140876
17,32,0.163284
18,1,0.060093
18,2,0.099264
18,4,0.108264
18,8,0.095514
18,16,0.096167
18,32,0.102108
