HashBits,Threads,Throughput (MTPS)
1,1,0.113944
1,2,0.132039
1,4,0.129645
1,8,0.130082
1,16,0.129734
1,32,0.135312
2,1,0.141001
2,2,0.138142
2,4,0.131373
2,8,0.133434
2,16,0.132611
2,32,0.130607
3,1,0.140877
3,2,0.134998
3,4,0.131672
3,8,0.129972
3,16,0.129193
3,32,0.131491
4,1,0.141370
4,2,0.136272
4,4,0.130587
4,8,0.127770
4,16,0.129238
4,32,0.128743
5,1,0.141807
5,2,0.142423
5,4,0.131704
5,8,0.132061
5,16,0.133935
5,32,0.129912
6,1,0.144691
6,2,0.141914
6,4,0.136860
6,8,0.135814
6,16,0.130862
6,32,0.131050
7,1,0.145195
7,2,0.135800
7,4,0.134254
7,8,0.130059
7,16,0.135957
7,32,0.135455
8,1,0.144399
8,2,0.140955
8,4,0.136058
8,8,0.128999
8,16,0.134201
8,32,0.129416
9,1,0.144250
9,2,0.141407
9,4,0.128733
9,8,0.133162
9,16,0.134247
9,32,0.134199
10,1,0.142834
10,2,0.137905
10,4,0.129316
10,8,0.128517
10,16,0.129668
10,32,0.132875
11,1,0.139906
11,2,0.138339
11,4,0.129833
11,8,0.131472
11,16,0.130994
11,32,0.130439
12,1,0.135652
12,2,0.132048
12,4,0.119916
12,8,0.122490
12,16,0.120501
12,32,0.122403
13,1,0.129471
13,2,0.127135
13,4,0.115133
13,8,0.115287
13,16,0.113740
13,32,0.114013
14,1,0.124986
14,2,0.121821
14,4,0.111440
14,8,0.111511
14,16,0.113414
14,32,0.112099
15,1,0.115114
15,2,0.113531
15,4,0.102491
15,8,0.101863
15,16,0.105521
15,32,0.103354
16,1,0.099141
16,2,0.098801
16,4,0.091238
16,8,0.090828
16,16,0.090356
16,32,0.090918
17,1,0.079377
17,2,0.079449
17,4,0.074299
17,8,0.072676
17,16,0.074132
17,32,0.076448
18,1,0.065282
18,2,0.063724
18,4,0.060262
18,8,0.059834
18,16,0.060863
18,32,0.058837
