HashBits,Threads,Throughput (MTPS)
1,1,0.140754
1,2,0.138823
1,4,0.133405
1,8,0.127674
1,16,0.130406
1,32,0.129162
2,1,0.141946
2,2,0.135423
2,4,0.129434
2,8,0.129254
2,16,0.128905
2,32,0.128873
3,1,0.139946
3,2,0.135321
3,4,0.132376
3,8,0.128836
3,16,0.133716
3,32,0.128919
4,1,0.140884
4,2,0.138321
4,4,0.135948
4,8,0.131937
4,16,0.136955
4,32,0.134310
5,1,0.143555
5,2,0.137583
5,4,0.133739
5,8,0.132578
5,16,0.133111
5,32,0.130456
6,1,0.146189
6,2,0.140199
6,4,0.131423
6,8,0.130215
6,16,0.129997
6,32,0.135115
7,1,0.146297
7,2,0.141817
7,4,0.132501
7,8,0.135664
7,16,0.133058
7,32,0.135825
8,1,0.142800
8,2,0.141408
8,4,0.135000
8,8,0.136401
8,16,0.131240
8,32,0.133123
9,1,0.145850
9,2,0.143493
9,4,0.137978
9,8,0.132813
9,16,0.133226
9,32,0.133577
10,1,0.145887
10,2,0.140966
10,4,0.133339
10,8,0.130988
10,16,0.132557
10,32,0.133751
11,1,0.141669
11,2,0.138381
11,4,0.130084
11,8,0.130013
11,16,0.128802
11,32,0.130104
12,1,0.136422
12,2,0.131713
12,4,0.122960
12,8,0.122240
12,16,0.122749
12,32,0.122484
13,1,0.129574
13,2,0.124575
13,4,0.114602
13,8,0.114268
13,16,0.115054
13,32,0.115099
14,1,0.125734
14,2,0.122302
14,4,0.112079
14,8,0.110432
14,16,0.111045
14,32,0.110622
15,1,0.113373
15,2,0.111426
15,4,0.104753
15,8,0.102632
15,16,0.104353
15,32,0.104181
16,1,0.100811
16,2,0.098190
16,4,0.089961
16,8,0.090247
16,16,0.090959
16,32,0.089507
17,1,0.082223
17,2,0.080438
17,4,0.075969
17,8,0.072875
17,16,0.075028
17,32,0.073672
18,1,0.064374
18,2,0.064182
18,4,0.059847
18,8,0.060171
18,16,0.060530
18,32,0.060718
