HashBits,Threads,Throughput (MTPS)
1,1,0.140861
1,2,0.138679
1,4,0.133304
1,8,0.126994
1,16,0.129225
1,32,0.129400
2,1,0.141798
2,2,0.135456
2,4,0.130293
2,8,0.128546
2,16,0.130263
2,32,0.129408
3,1,0.139741
3,2,0.135099
3,4,0.133013
3,8,0.130231
3,16,0.134337
3,32,0.128863
4,1,0.141668
4,2,0.138188
4,4,0.130450
4,8,0.131518
4,16,0.134762
4,32,0.134226
5,1,0.142990
5,2,0.141760
5,4,0.131584
5,8,0.134154
5,16,0.130123
5,32,0.130884
6,1,0.140829
6,2,0.137064
6,4,0.133067
6,8,0.136063
6,16,0.131911
6,32,0.136552
7,1,0.145585
7,2,0.138683
7,4,0.132507
7,8,0.131446
7,16,0.136090
7,32,0.129165
8,1,0.145619
8,2,0.143767
8,4,0.132388
8,8,0.135305
8,16,0.128727
8,32,0.132912
9,1,0.146166
9,2,0.142212
9,4,0.128441
9,8,0.131801
9,16,0.133762
9,32,0.128788
10,1,0.142737
10,2,0.141933
10,4,0.131143
10,8,0.133674
10,16,0.131888
10,32,0.130421
11,1,0.140759
11,2,0.138334
11,4,0.129157
11,8,0.129890
11,16,0.129685
11,32,0.129456
12,1,0.137018
12,2,0.132933
12,4,0.122027
12,8,0.121809
12,16,0.124778
12,32,0.123423
13,1,0.130371
13,2,0.126085
13,4,0.115782
13,8,0.116068
13,16,0.115353
13,32,0.114973
14,1,0.124515
14,2,0.122808
14,4,0.109584
14,8,0.112776
14,16,0.110388
14,32,0.111849
15,1,0.114205
15,2,0.112449
15,4,0.104956
15,8,0.103481
15,16,0.102512
15,32,0.105612
16,1,0.097882
16,2,0.095707
16,4,0.090902
16,8,0.089876
16,16,0.090139
16,32,0.091022
17,1,0.081870
17,2,0.077506
17,4,0.075729
17,8,0.073271
17,16,0.073252
17,32,0.074718
18,1,0.065256
18,2,0.063416
18,4,0.060937
18,8,0.060552
18,16,0.061006
18,32,0.060532
