HashBits,Threads,Throughput (MTPS)
1,1,0.132882
1,2,0.137570
1,4,0.119573
1,8,0.090339
1,16,0.060482
1,32,0.072402
2,1,0.135761
2,2,0.191094
2,4,0.190377
2,8,0.157894
2,16,0.101214
2,32,0.130225
3,1,0.136991
3,2,0.118681
3,4,0.164073
3,8,0.176984
3,16,0.178324
3,32,0.211815
4,1,0.136204
4,2,0.148910
4,4,0.180039
4,8,0.205819
4,16,0.208030
4,32,0.216245
5,1,0.140320
5,2,0.166160
5,4,0.204277
5,8,0.264793
5,16,0.246237
5,32,0.319990
6,1,0.133019
6,2,0.216682
6,4,0.313189
6,8,0.304400
6,16,0.433347
6,32,0.461416
7,1,0.132788
7,2,0.238254
7,4,0.273283
7,8,0.503826
7,16,0.410160
7,32,0.626172
8,1,0.142978
8,2,0.207874
8,4,0.360085
8,8,0.636810
8,16,0.839015
8,32,0.958550
9,1,0.134169
9,2,0.238230
9,4,0.364637
9,8,0.578241
9,16,0.838837
9,32,0.937981
10,1,0.141841
10,2,0.257634
10,4,0.454562
10,8,0.610362
10,16,0.851551
10,32,0.894593
11,1,0.137923
11,2,0.208004
11,4,0.421581
11,8,0.526159
11,16,0.760157
11,32,0.759492
12,1,0.132419
12,2,0.242840
12,4,0.348895
12,8,0.407746
12,16,0.476164
12,32,0.583715
13,1,0.125462
13,2,0.217850
13,4,0.331035
13,8,0.339093
13,16,0.382242
13,32,0.444821
14,1,0.120324
14,2,0.169786
14,4,0.257417
14,8,0.315166
14,16,0.345094
14,32,0.368832
15,1,0.109976
15,2,0.155995
15,4,0.231466
15,8,0.251265
15,16,0.275834
15,32,0.331357
16,1,0.092752
16,2,0.150386
16,4,0.198459
16,8,0.190408
16,16,0.204792
16,32,0.261896
17,1,0.072543
17,2,0.129090
17,4,0.141548
17,8,0.134721
17,16,0.148806
17,32,0.206653
18,1,0.063777
18,2,0.092032
18,4,0.112153
18,8,0.096176
18,16,0.098296
18,32,0.118202
