HashBits,Threads,Throughput (MTPS)
1,1,0.140644
1,2,0.171520
1,4,0.171746
1,8,0.153651
1,16,0.174014
1,32,0.155287
2,1,0.141441
2,2,0.210304
2,4,0.218896
2,8,0.232267
2,16,0.232652
2,32,0.276180
3,1,0.147653
3,2,0.199336
3,4,0.214231
3,8,0.255158
3,16,0.257724
3,32,0.287619
4,1,0.143100
4,2,0.210556
4,4,0.254731
4,8,0.273772
4,16,0.340658
4,32,0.397531
5,1,0.142521
5,2,0.210789
5,4,0.245656
5,8,0.384366
5,16,0.287672
5,32,0.411922
6,1,0.145094
6,2,0.241701
6,4,0.363061
6,8,0.545241
6,16,0.522511
6,32,0.575246
7,1,0.149248
7,2,0.235258
7,4,0.411249
7,8,0.662251
7,16,0.649431
7,32,0.748301
8,1,0.147387
8,2,0.256050
8,4,0.454268
8,8,0.768998
8,16,0.791033
8,32,0.724833
9,1,0.148410
9,2,0.258679
9,4,0.461814
9,8,0.791158
9,16,0.791847
9,32,0.783731
10,1,0.145348
10,2,0.266762
10,4,0.468010
10,8,0.758887
10,16,0.750428
10,32,0.676980
11,1,0.141574
11,2,0.249567
11,4,0.438794
11,8,0.641845
11,16,0.707076
11,32,0.666591
12,1,0.136448
12,2,0.251180
12,4,0.406971
12,8,0.569980
12,16,0.598010
12,32,0.501455
13,1,0.129036
13,2,0.229293
13,4,0.343538
13,8,0.409868
13,16,0.479398
13,32,0.431890
14,1,0.124155
14,2,0.216003
14,4,0.311645
14,8,0.369452
14,16,0.456484
14,32,0.404216
15,1,0.116214
15,2,0.197114
15,4,0.268265
15,8,0.290755
15,16,0.369216
15,32,0.397728
16,1,0.098990
16,2,0.165822
16,4,0.227756
16,8,0.229730
16,16,0.303125
16,32,0.311195
17,1,0.080369
17,2,0.133231
17,4,0.161883
17,8,0.170163
17,16,0.227536
17,32,0.247265
18,1,0.063639
18,2,0.100817
18,4,0.124520
18,8,0.114366
18,16,0.156378
18,32,0.154354
