HashBits,Threads,Throughput (MTPS)
1,1,0.140171
1,2,0.169062
1,4,0.179518
1,8,0.153707
1,16,0.183011
1,32,0.179405
2,1,0.143987
2,2,0.196394
2,4,0.211976
2,8,0.199106
2,16,0.229830
2,32,0.232134
3,1,0.141507
3,2,0.209586
3,4,0.257091
3,8,0.262342
3,16,0.253220
3,32,0.257651
4,1,0.141758
4,2,0.204602
4,4,0.265449
4,8,0.282186
4,16,0.358758
4,32,0.311959
5,1,0.147720
5,2,0.228983
5,4,0.296469
5,8,0.369541
5,16,0.326845
5,32,0.316532
6,1,0.147019
6,2,0.244362
6,4,0.365061
6,8,0.544590
6,16,0.557815
6,32,0.627647
7,1,0.148023
7,2,0.253321
7,4,0.375285
7,8,0.610298
7,16,0.650786
7,32,0.723038
8,1,0.148453
8,2,0.253579
8,4,0.452162
8,8,0.769220
8,16,0.766044
8,32,0.767299
9,1,0.147203
9,2,0.259743
9,4,0.453638
9,8,0.754475
9,16,0.759652
9,32,0.697821
10,1,0.144830
10,2,0.264153
10,4,0.462926
10,8,0.728788
10,16,0.729647
10,32,0.721928
11,1,0.140838
11,2,0.261257
11,4,0.465389
11,8,0.691778
11,16,0.700513
11,32,0.582051
12,1,0.136735
12,2,0.246161
12,4,0.397969
12,8,0.544947
12,16,0.607210
12,32,0.536990
13,1,0.129237
13,2,0.231399
13,4,0.326868
13,8,0.451237
13,16,0.483990
13,32,0.406484
14,1,0.123569
14,2,0.216798
14,4,0.310320
14,8,0.361434
14,16,0.454784
14,32,0.423027
15,1,0.115395
15,2,0.194331
15,4,0.253549
15,8,0.302477
15,16,0.410026
15,32,0.411000
16,1,0.098633
16,2,0.169899
16,4,0.223107
16,8,0.219592
16,16,0.302231
16,32,0.274955
17,1,0.082245
17,2,0.128652
17,4,0.172386
17,8,0.171739
17,16,0.194799
17,32,0.215216
18,1,0.065472
18,2,0.102363
18,4,0.112877
18,8,0.121736
18,16,0.149179
18,32,0.168831
