HashBits,Threads,Throughput (MTPS)
1,1,0.139895
1,2,0.182339
1,4,0.185194
1,8,0.147014
1,16,0.165040
1,32,0.159334
2,1,0.140244
2,2,0.192944
2,4,0.275013
2,8,0.265853
2,16,0.235806
2,32,0.260388
3,1,0.146118
3,2,0.201415
3,4,0.231730
3,8,0.292066
3,16,0.307173
3,32,0.316261
4,1,0.146153
4,2,0.205078
4,4,0.280992
4,8,0.312735
4,16,0.295704
4,32,0.411904
5,1,0.146479
5,2,0.221578
5,4,0.338367
5,8,0.350099
5,16,0.464261
5,32,0.313176
6,1,0.141813
6,2,0.228215
6,4,0.347094
6,8,0.470050
6,16,0.505070
6,32,0.502527
7,1,0.148494
7,2,0.254502
7,4,0.376066
7,8,0.565050
7,16,0.734278
7,32,0.716075
8,1,0.146541
8,2,0.244192
8,4,0.429425
8,8,0.687009
8,16,0.759317
8,32,0.765082
9,1,0.148205
9,2,0.261464
9,4,0.457085
9,8,0.796989
9,16,0.797595
9,32,0.720430
10,1,0.145985
10,2,0.265365
10,4,0.457906
10,8,0.742002
10,16,0.750085
10,32,0.681138
11,1,0.142369
11,2,0.261951
11,4,0.441202
11,8,0.683919
11,16,0.679934
11,32,0.592114
12,1,0.133525
12,2,0.238499
12,4,0.413262
12,8,0.497949
12,16,0.568661
12,32,0.474036
13,1,0.128638
13,2,0.226685
13,4,0.343631
13,8,0.411259
13,16,0.504469
13,32,0.436914
14,1,0.123066
14,2,0.211254
14,4,0.291062
14,8,0.353161
14,16,0.439142
14,32,0.423525
15,1,0.113148
15,2,0.191980
15,4,0.258787
15,8,0.290904
15,16,0.360783
15,32,0.421435
16,1,0.101118
16,2,0.171706
16,4,0.219399
16,8,0.208708
16,16,0.297988
16,32,0.305980
17,1,0.081035
17,2,0.127405
17,4,0.169292
17,8,0.162959
17,16,0.207255
17,32,0.210859
18,1,0.066364
18,2,0.099146
18,4,0.116604
18,8,0.106944
18,16,0.157319
18,32,0.148581
