HashBits,Threads,Throughput (MTPS)
1,1,0.173561
1,2,0.329651
1,4,0.625447
1,8,0.970591
1,16,0.332756
1,32,1.076878
2,1,0.181773
2,2,0.350949
2,4,0.621619
2,8,0.923091
2,16,1.073111
2,32,1.052361
3,1,0.183729
3,2,0.332967
3,4,0.536104
3,8,0.578761
3,16,0.587198
3,32,0.438624
4,1,0.102023
4,2,0.136906
4,4,0.106619
4,8,0.066898
4,16,0.060748
4,32,0.052482
5,1,0.039454
5,2,0.051565
5,4,0.043714
5,8,0.048004
5,16,0.071504
5,32,0.046699
6,1,0.041732
6,2,0.054031
6,4,0.051329
6,8,0.047413
6,16,0.068245
6,32,0.067921
7,1,0.038096
7,2,0.052855
7,4,0.047862
7,8,0.042862
7,16,0.068494
7,32,0.067900
8,1,0.029769
8,2,0.051301
8,4,0.043684
8,8,0.047129
8,16,0.065704
8,32,0.066674
9,1,0.038374
9,2,0.048363
9,4,0.047135
9,8,0.046790
9,16,0.068684
9,32,0.068738
10,1,0.040055
10,2,0.056483
10,4,0.044267
10,8,0.045492
10,16,0.069178
10,32,0.066508
11,1,0.039478
11,2,0.049062
11,4,0.045136
11,8,0.047299
11,16,0.069355
11,32,0.066392
12,1,0.039841
12,2,0.058429
12,4,0.056125
12,8,0.046658
12,16,0.071231
12,32,0.069495
13,1,0.039277
13,2,0.040872
13,4,0.050620
13,8,0.045729
13,16,0.067705
13,32,0.061754
14,1,0.036701
14,2,0.058963
14,4,0.044616
14,8,0.045875
14,16,0.069661
14,32,0.069231
15,1,0.038687
15,2,0.055205
15,4,0.045388
15,8,0.051207
15,16,0.070384
15,32,0.066559
16,1,0.040213
16,2,0.050435
16,4,0.049991
16,8,0.044290
16,16,0.066653
16,32,0.045305
17,1,0.042832
17,2,0.051008
17,4,0.046351
17,8,0.044330
17,16,0.068614
17,32,0.060578
18,1,0.038773
18,2,0.054703
18,4,0.047497
18,8,0.049188
18,16,0.063054
18,32,0.051686
